city,state,total_purchases,total_revenue,avg_check
Anaheim,IA,12,8616.0,718.0000000000000000
Reno,NU,10,7178.0,717.8000000000000000
Oswego,MI,8,5742.0,717.7500000000000000
Aliso Viejo,AB,8,5742.0,717.7500000000000000
Arlington,PE,10,7175.0,717.5000000000000000
Laguna Niguel,TX,6,4305.0,717.5000000000000000
Warner Robins,BC,10,7173.0,717.3000000000000000
Placentia,OK,7,5020.0,717.1428571428571429
Effingham,MT,12,8605.0,717.0833333333333333
Spartanburg,PE,6,4302.0,717.0000000000000000
Manhattan,PE,10,7168.0,716.8000000000000000
West Springfield,KY,6,4300.0,716.6666666666666667
Waco,AB,10,7166.0,716.6000000000000000
Youngstown,YT,17,12177.0,716.2941176470588235
Norwich,PE,8,5730.0,716.2500000000000000
Monongahela,NS,12,8594.0,716.1666666666666667
Houma,AB,12,8594.0,716.1666666666666667
Kenner,TX,7,5013.0,716.1428571428571429
Waycross,ON,14,10025.0,716.0714285714285714
Hollywood,PE,10,7158.0,715.8000000000000000
Effingham,TN,8,5725.0,715.6250000000000000
Farrell,OK,9,6440.0,715.5555555555555556
Grand Forks,LA,13,9301.0,715.4615384615384615
Eufaula,AB,6,4292.0,715.3333333333333333
South Portland,NC,8,5721.0,715.1250000000000000
La Canada Flintridge,AB,6,4290.0,715.0000000000000000
Franklin,NU,18,12866.0,714.7777777777777778
Coral Springs,WI,11,7859.0,714.4545454545454545
Baltimore,MB,9,6430.0,714.4444444444444444
Lower Burrell,CA,12,8573.0,714.4166666666666667
Guayama,YT,6,4286.0,714.3333333333333333
Chesapeake,OR,10,7142.0,714.2000000000000000
Scranton,NU,8,5713.0,714.1250000000000000
Ruston,QC,12,8569.0,714.0833333333333333
Elmira,MD,8,5712.0,714.0000000000000000
West Allis,ND,6,4283.0,713.8333333333333333
Scottsbluff,MB,11,7852.0,713.8181818181818182
Natchez,NH,15,10703.0,713.5333333333333333
Bay St. Louis,ON,6,4279.0,713.1666666666666667
Del Rio,QC,9,6418.0,713.1111111111111111
Lincoln,SK,8,5704.0,713.0000000000000000
Olean,NL,7,4990.0,712.8571428571428571
Peekskill,PE,7,4990.0,712.8571428571428571
Grambling,PE,12,8553.0,712.7500000000000000
Broken Arrow,NT,30,21382.0,712.7333333333333333
South El Monte,NU,15,10690.0,712.6666666666666667
Fulton,ME,9,6412.0,712.4444444444444444
Lahaina,WI,7,4986.0,712.2857142857142857
Claremont,MB,9,6410.0,712.2222222222222222
Orange,DC,11,7833.0,712.0909090909090909
Bandon,CO,15,10681.0,712.0666666666666667
Eden Prairie,PA,9,6408.0,712.0000000000000000
Parkersburg,BC,8,5695.0,711.8750000000000000
Oklahoma City,BC,8,5694.0,711.7500000000000000
Menomonee Falls,IA,8,5693.0,711.6250000000000000
North Adams,BC,10,7116.0,711.6000000000000000
The Dalles,NU,7,4980.0,711.4285714285714286
Peoria,LA,7,4980.0,711.4285714285714286
Waltham,YT,11,7819.0,710.8181818181818182
Holyoke,AB,8,5686.0,710.7500000000000000
San Jose,NT,9,6396.0,710.6666666666666667
City of Industry,BC,12,8526.0,710.5000000000000000
Anderson,AB,9,6394.0,710.4444444444444444
West Covina,AK,11,7814.0,710.3636363636363636
Rye,ON,13,9232.0,710.1538461538461538
Helena,DE,14,9942.0,710.1428571428571429
La Palma,TN,8,5680.0,710.0000000000000000
Coral Springs,NU,6,4260.0,710.0000000000000000
International Falls,NB,12,8517.0,709.7500000000000000
Astoria,PE,7,4968.0,709.7142857142857143
Lynwood,NM,15,10645.0,709.6666666666666667
Galveston,NU,16,11353.0,709.5625000000000000
Cruz Bay,NL,11,7803.0,709.3636363636363636
Stevens Point,NL,21,14896.0,709.3333333333333333
Akron,LA,11,7802.0,709.2727272727272727
Murrieta,HI,6,4255.0,709.1666666666666667
Rohnert Park,PE,6,4255.0,709.1666666666666667
Valencia,YT,19,13474.0,709.1578947368421053
Davenport,BC,8,5673.0,709.1250000000000000
Fulton,ON,8,5669.0,708.6250000000000000
Menomonee Falls,NL,14,9919.0,708.5000000000000000
Pottsville,SK,10,7085.0,708.5000000000000000
Bellflower,NL,7,4959.0,708.4285714285714286
Durham,IN,7,4958.0,708.2857142857142857
Garden Grove,NS,6,4249.0,708.1666666666666667
San Angelo,MS,7,4957.0,708.1428571428571429
Palos Verdes Estates,QC,23,16285.0,708.0434782608695652
Morrison,NS,8,5664.0,708.0000000000000000
Wausau,MB,8,5663.0,707.8750000000000000
DeKalb,SK,9,6369.0,707.6666666666666667
Butte,NS,7,4953.0,707.5714285714285714
Narragansett,WI,8,5660.0,707.5000000000000000
Ketchikan,ND,13,9197.0,707.4615384615384615
Council Bluffs,MA,7,4952.0,707.4285714285714286
Batavia,MN,10,7074.0,707.4000000000000000
Joplin,MB,8,5654.0,706.7500000000000000
Oak Ridge,NS,8,5654.0,706.7500000000000000
San Francisco,YT,11,7773.0,706.6363636363636364
Saipan,ON,8,5653.0,706.6250000000000000
Effingham,MS,15,10599.0,706.6000000000000000
Palmdale,OR,7,4946.0,706.5714285714285714
Sunnyvale,YT,11,7770.0,706.3636363636363636
Thomasville,NS,13,9182.0,706.3076923076923077
Kingston,MN,20,14126.0,706.3000000000000000
Torrington,QC,7,4944.0,706.2857142857142857
Las Cruces,WA,11,7768.0,706.1818181818181818
Sheboygan,QC,21,14825.0,705.9523809523809524
Raleigh,DE,6,4234.0,705.6666666666666667
Pullman,MT,13,9173.0,705.6153846153846154
Sanford,NT,7,4939.0,705.5714285714285714
Hope,IA,10,7055.0,705.5000000000000000
Branson,IN,6,4233.0,705.5000000000000000
Fort Wayne,NB,10,7053.0,705.3000000000000000
Houston,IL,7,4937.0,705.2857142857142857
Diamond Bar,AB,15,10577.0,705.1333333333333333
Artesia,SK,8,5640.0,705.0000000000000000
Moraga,BC,11,7755.0,705.0000000000000000
Del Rio,YT,17,11985.0,705.0000000000000000
Grand Junction,BC,14,9869.0,704.9285714285714286
York,CT,7,4932.0,704.5714285714285714
Lynwood,NS,25,17609.0,704.3600000000000000
Fairbanks,IL,6,4226.0,704.3333333333333333
Princeton,TX,9,6338.0,704.2222222222222222
Easton,PA,7,4929.0,704.1428571428571429
Walnut,AB,22,15488.0,704.0000000000000000
Schaumburg,QC,9,6335.0,703.8888888888888889
Independence,NS,23,16188.0,703.8260869565217391
St. Marys,NE,7,4926.0,703.7142857142857143
Lansing,PE,18,12665.0,703.6111111111111111
Newark,KS,12,8441.0,703.4166666666666667
Salisbury,GA,14,9847.0,703.3571428571428571
Overland Park,VT,8,5626.0,703.2500000000000000
La Crosse,NL,10,7032.0,703.2000000000000000
Huntsville,MN,6,4219.0,703.1666666666666667
West Bend,QC,9,6327.0,703.0000000000000000
Utica,NB,11,7732.0,702.9090909090909091
Terre Haute,UT,6,4217.0,702.8333333333333333
Brown Deer,FL,20,14054.0,702.7000000000000000
San Diego,ON,10,7026.0,702.6000000000000000
Scranton,AK,10,7024.0,702.4000000000000000
Rawlins,AB,8,5619.0,702.3750000000000000
Myrtle Beach,BC,10,7023.0,702.3000000000000000
Stockton,BC,7,4916.0,702.2857142857142857
Agat,WA,11,7724.0,702.1818181818181818
Spartanburg,NY,12,8426.0,702.1666666666666667
Austin,WY,6,4212.0,702.0000000000000000
Westfield,CT,16,11231.0,701.9375000000000000
Greensboro,QC,12,8422.0,701.8333333333333333
Charlotte,NL,6,4211.0,701.8333333333333333
St. Petersburg,SC,7,4911.0,701.5714285714285714
Ann Arbor,IA,6,4209.0,701.5000000000000000
Dixon,GA,12,8418.0,701.5000000000000000
Oneonta,SC,11,7716.0,701.4545454545454545
Annapolis,VT,7,4910.0,701.4285714285714286
Sierra Madre,MS,7,4910.0,701.4285714285714286
Compton,SK,16,11222.0,701.3750000000000000
Kenner,QC,21,14726.0,701.2380952380952381
South El Monte,OH,13,9115.0,701.1538461538461538
Steubenville,NL,19,13321.0,701.1052631578947368
Passaic,DC,8,5608.0,701.0000000000000000
Douglas,ME,8,5608.0,701.0000000000000000
Greenville,NU,9,6308.0,700.8888888888888889
Schaumburg,YT,14,9812.0,700.8571428571428571
Suffolk,AB,16,11213.0,700.8125000000000000
Vacaville,VT,27,18921.0,700.7777777777777778
Little Falls,SC,13,9110.0,700.7692307692307692
Rensselaer,SK,11,7708.0,700.7272727272727273
Stamford,MB,9,6305.0,700.5555555555555556
Idaho Springs,QC,18,12608.0,700.4444444444444444
Nichols Hills,NT,20,14007.0,700.3500000000000000
Highland Park,YT,20,13995.0,699.7500000000000000
Flint,PA,7,4896.0,699.4285714285714286
Camden,PE,13,9092.0,699.3846153846153846
Slidell,LA,8,5595.0,699.3750000000000000
Muncie,IL,11,7693.0,699.3636363636363636
Bartlesville,NU,18,12587.0,699.2777777777777778
Sherrill,NB,11,7691.0,699.1818181818181818
Council Bluffs,CT,10,6990.0,699.0000000000000000
Chino,NC,11,7687.0,698.8181818181818182
Sister Bay,TX,8,5590.0,698.7500000000000000
Springdale,ME,8,5590.0,698.7500000000000000
Thiensville,NH,9,6288.0,698.6666666666666667
Fulton,BC,8,5589.0,698.6250000000000000
Sturgis,AL,10,6986.0,698.6000000000000000
Elsmere,MB,17,11876.0,698.5882352941176471
Deadwood,NJ,7,4890.0,698.5714285714285714
Ithaca,UT,8,5588.0,698.5000000000000000
Hartford,CO,10,6984.0,698.4000000000000000
Troy,ON,13,9079.0,698.3846153846153846
Scranton,NS,8,5587.0,698.3750000000000000
Middlebury,ON,6,4190.0,698.3333333333333333
Peekskill,VA,10,6983.0,698.3000000000000000
Flagstaff,WV,12,8378.0,698.1666666666666667
Monrovia,GA,6,4189.0,698.1666666666666667
Lafayette,DE,6,4189.0,698.1666666666666667
Catskill,BC,8,5585.0,698.1250000000000000
Gilette,NV,8,5583.0,697.8750000000000000
Anaheim,OK,18,12560.0,697.7777777777777778
Kent,MD,8,5582.0,697.7500000000000000
Waukegan,MB,8,5581.0,697.6250000000000000
Frederick,NT,12,8371.0,697.5833333333333333
Janesville,NU,8,5580.0,697.5000000000000000
Anaheim,NL,6,4185.0,697.5000000000000000
Commerce,LA,7,4881.0,697.2857142857142857
Rehoboth Beach,MB,11,7670.0,697.2727272727272727
Temecula,BC,13,9064.0,697.2307692307692308
Sierra Vista,IA,10,6972.0,697.2000000000000000
Ogden,QC,15,10457.0,697.1333333333333333
Westlake Village,PE,10,6969.0,696.9000000000000000
Seal Beach,MT,10,6968.0,696.8000000000000000
San Clemente,MO,6,4180.0,696.6666666666666667
Dothan,QC,8,5573.0,696.6250000000000000
Seward,BC,26,18112.0,696.6153846153846154
Hollywood,OH,7,4876.0,696.5714285714285714
North Adams,NL,10,6964.0,696.4000000000000000
Champaign,NE,10,6962.0,696.2000000000000000
Culver City,WV,16,11139.0,696.1875000000000000
Everett,RI,8,5569.0,696.1250000000000000
Ocean City,NS,9,6265.0,696.1111111111111111
La Crosse,NY,14,9744.0,696.0000000000000000
Lock Haven,QC,27,18789.0,695.8888888888888889
Alhambra,QC,26,18090.0,695.7692307692307692
Morgan City,ON,21,14611.0,695.7619047619047619
Jersey City,GA,7,4870.0,695.7142857142857143
Mesquite,AL,14,9737.0,695.5000000000000000
Selma,YT,10,6954.0,695.4000000000000000
Highland Park,NS,11,7649.0,695.3636363636363636
Gloucester,NB,17,11821.0,695.3529411764705882
Lomita,ME,10,6953.0,695.3000000000000000
Myrtle Beach,NJ,24,16687.0,695.2916666666666667
Agoura Hills,HI,7,4867.0,695.2857142857142857
Irving,TN,20,13905.0,695.2500000000000000
Davis,ON,22,15290.0,695.0000000000000000
Lakeland,BC,8,5559.0,694.8750000000000000
Missoula,NT,7,4864.0,694.8571428571428571
Beloit,YT,8,5558.0,694.7500000000000000
Franklin,TN,6,4168.0,694.6666666666666667
Gardena,IN,9,6252.0,694.6666666666666667
Bell,YT,11,7641.0,694.6363636363636364
Peekskill,NL,12,8335.0,694.5833333333333333
Bandon,YT,7,4862.0,694.5714285714285714
Helena,NB,17,11807.0,694.5294117647058824
Jonesboro,NB,8,5556.0,694.5000000000000000
Barrow,PA,17,11805.0,694.4117647058823529
Sharon,MB,9,6247.0,694.1111111111111111
Hoboken,IL,11,7632.0,693.8181818181818182
Henderson,IA,8,5550.0,693.7500000000000000
Chula Vista,NY,8,5550.0,693.7500000000000000
Caguas,NB,15,10405.0,693.6666666666666667
Helena,ON,12,8323.0,693.5833333333333333
Lima,AZ,9,6242.0,693.5555555555555556
Carson,SK,7,4854.0,693.4285714285714286
Grambling,MN,10,6934.0,693.4000000000000000
Somersworth,LA,6,4160.0,693.3333333333333333
Meadville,NB,35,24263.0,693.2285714285714286
Knoxville,NL,21,14556.0,693.1428571428571429
Corpus Christi,VA,7,4852.0,693.1428571428571429
Sonoma,QC,18,12473.0,692.9444444444444444
Carson,QC,10,6929.0,692.9000000000000000
New Orleans,AZ,7,4850.0,692.8571428571428571
Oxnard,DC,24,16628.0,692.8333333333333333
Pascagoula,MT,10,6928.0,692.8000000000000000
Hayward,PE,33,22861.0,692.7575757575757576
Youngstown,IL,14,9698.0,692.7142857142857143
Lakeland,KS,8,5541.0,692.6250000000000000
Kemmerer,NT,10,6923.0,692.3000000000000000
Oro Valley,NS,17,11769.0,692.2941176470588235
Davis,NT,10,6922.0,692.2000000000000000
Ocean City,PE,10,6921.0,692.1000000000000000
Crown Point,NL,14,9689.0,692.0714285714285714
Aurora,MD,13,8994.0,691.8461538461538462
Fort Worth,WV,10,6917.0,691.7000000000000000
Palo Alto,YT,7,4841.0,691.5714285714285714
Plantation,NT,14,9682.0,691.5714285714285714
Rockford,OK,6,4148.0,691.3333333333333333
Johnson City,ID,11,7603.0,691.1818181818181818
Boulder City,CO,16,11057.0,691.0625000000000000
Kona,OH,8,5527.0,690.8750000000000000
Mankato,WY,9,6217.0,690.7777777777777778
Brooklyn Park,ND,7,4835.0,690.7142857142857143
Dayton,QC,10,6907.0,690.7000000000000000
Victoria,OK,10,6907.0,690.7000000000000000
Powell,VA,13,8978.0,690.6153846153846154
Plano,NU,11,7594.0,690.3636363636363636
Muskogee,MO,6,4142.0,690.3333333333333333
Weymouth,NL,21,14497.0,690.3333333333333333
Moline,FL,10,6902.0,690.2000000000000000
Saint Albans,FL,8,5521.0,690.1250000000000000
High Point,TX,6,4140.0,690.0000000000000000
Rolla,NL,23,15870.0,690.0000000000000000
Marquette,NL,16,11035.0,689.6875000000000000
Albuquerque,BC,8,5517.0,689.6250000000000000
Laguna Hills,SC,14,9654.0,689.5714285714285714
Midwest City,PE,9,6206.0,689.5555555555555556
Gardner,ME,10,6895.0,689.5000000000000000
Ketchikan,ON,16,11031.0,689.4375000000000000
Hollister,TX,6,4136.0,689.3333333333333333
Centennial,SK,12,8271.0,689.2500000000000000
Saint Louis,UT,12,8271.0,689.2500000000000000
Tulsa,NY,9,6203.0,689.2222222222222222
Los Angeles,ON,11,7581.0,689.1818181818181818
Newark,AB,10,6891.0,689.1000000000000000
Nogales,SK,7,4823.0,689.0000000000000000
Waco,YT,22,15157.0,688.9545454545454545
North Little Rock,QC,20,13779.0,688.9500000000000000
Redlands,SD,7,4822.0,688.8571428571428571
Santa Clara,NH,8,5507.0,688.3750000000000000
Grand Rapids,QC,7,4818.0,688.2857142857142857
Pembroke Pines,KY,15,10322.0,688.1333333333333333
Portland,NU,7,4816.0,688.0000000000000000
Kingston,NJ,6,4128.0,688.0000000000000000
Elko,NU,19,13069.0,687.8421052631578947
South Portland,PE,35,24066.0,687.6000000000000000
Azusa,QC,8,5500.0,687.5000000000000000
Narragansett,UT,9,6184.0,687.1111111111111111
Dover,YT,13,8932.0,687.0769230769230769
Huntington Beach,WA,8,5496.0,687.0000000000000000
College Park,NS,7,4809.0,687.0000000000000000
Redding,HI,14,9618.0,687.0000000000000000
Sedalia,MB,20,13739.0,686.9500000000000000
Truth or Consequences,NB,15,10304.0,686.9333333333333333
Stamford,NY,7,4808.0,686.8571428571428571
Myrtle Beach,PE,7,4807.0,686.7142857142857143
Cary,NY,16,10987.0,686.6875000000000000
El Monte,BC,8,5493.0,686.6250000000000000
Midwest City,AB,21,14416.0,686.4761904761904762
Statesboro,QC,7,4805.0,686.4285714285714286
Oshkosh,MD,18,12353.0,686.2777777777777778
Sheboygan,NU,16,10977.0,686.0625000000000000
Everett,MB,11,7546.0,686.0000000000000000
Bowling Green,MB,9,6173.0,685.8888888888888889
Blacksburg,NT,13,8916.0,685.8461538461538462
Texas City,GA,7,4797.0,685.2857142857142857
Cedar Rapids,NB,13,8906.0,685.0769230769230769
North Pole,QC,11,7534.0,684.9090909090909091
Yazoo City,NL,20,13698.0,684.9000000000000000
Plano,QC,9,6164.0,684.8888888888888889
Carson,FL,9,6164.0,684.8888888888888889
Racine,NB,16,10958.0,684.8750000000000000
Amesbury,NL,12,8218.0,684.8333333333333333
Norman,PA,7,4793.0,684.7142857142857143
Lockport,MO,28,19172.0,684.7142857142857143
Norfolk,NB,8,5475.0,684.3750000000000000
Lincoln,PE,12,8212.0,684.3333333333333333
Easthampton,MD,6,4106.0,684.3333333333333333
Frederiksted,NT,7,4790.0,684.2857142857142857
Newton,BC,9,6157.0,684.1111111111111111
Lawndale,AK,11,7525.0,684.0909090909090909
Greenville,LA,7,4788.0,684.0000000000000000
Hilo,QC,16,10939.0,683.6875000000000000
Downey,YT,7,4785.0,683.5714285714285714
Norton,TX,8,5468.0,683.5000000000000000
Brunswick,CT,16,10936.0,683.5000000000000000
Guthrie,KS,10,6834.0,683.4000000000000000
Dodge City,NB,8,5466.0,683.2500000000000000
Montebello,ND,11,7511.0,682.8181818181818182
Hampton,NS,8,5462.0,682.7500000000000000
Westlake Village,NT,15,10241.0,682.7333333333333333
Ashland,WY,7,4779.0,682.7142857142857143
Chino Hills,OR,6,4096.0,682.6666666666666667
Natchez,PE,36,24572.0,682.5555555555555556
Mount Pleasant,WA,12,8189.0,682.4166666666666667
Valparaiso,AB,18,12282.0,682.3333333333333333
Laredo,MB,14,9552.0,682.2857142857142857
Iowa City,ON,14,9551.0,682.2142857142857143
Mount Pleasant,BC,22,15008.0,682.1818181818181818
Lawndale,HI,23,15690.0,682.1739130434782609
Huntington Park,BC,7,4775.0,682.1428571428571429
Kenner,ME,8,5456.0,682.0000000000000000
Richland,NT,9,6138.0,682.0000000000000000
Agat,IL,32,21821.0,681.9062500000000000
Vicksburg,BC,8,5454.0,681.7500000000000000
Rensselaer,ON,12,8180.0,681.6666666666666667
Compton,DC,6,4090.0,681.6666666666666667
Evansville,NS,16,10905.0,681.5625000000000000
Fallon,CA,8,5452.0,681.5000000000000000
Texarkana,NH,8,5452.0,681.5000000000000000
Cheyenne,NT,11,7495.0,681.3636363636363636
Anaheim,MS,6,4088.0,681.3333333333333333
Fort Smith,YT,6,4088.0,681.3333333333333333
Cambridge,AL,6,4088.0,681.3333333333333333
Jordan Valley,AK,14,9538.0,681.2857142857142857
Bangor,NL,9,6131.0,681.2222222222222222
Boulder Junction,WI,7,4768.0,681.1428571428571429
Sedalia,YT,15,10217.0,681.1333333333333333
Flint,SK,16,10897.0,681.0625000000000000
Marlborough,FL,9,6128.0,680.8888888888888889
Edina,CO,11,7489.0,680.8181818181818182
Janesville,NL,20,13614.0,680.7000000000000000
Azusa,AK,14,9529.0,680.6428571428571429
Pasadena,ME,7,4763.0,680.4285714285714286
Pascagoula,NY,8,5443.0,680.3750000000000000
San Dimas,IN,6,4082.0,680.3333333333333333
Lahaina,MA,6,4082.0,680.3333333333333333
Hattiesburg,SK,27,18367.0,680.2592592592592593
Littleton,DE,16,10883.0,680.1875000000000000
St. Petersburg,NU,17,11563.0,680.1764705882352941
Quincy,SK,16,10881.0,680.0625000000000000
Clairton,QC,20,13601.0,680.0500000000000000
Montgomery,ON,16,10880.0,680.0000000000000000
Claremont,ID,8,5440.0,680.0000000000000000
Palo Alto,NL,17,11558.0,679.8823529411764706
Santa Clarita,PE,13,8838.0,679.8461538461538462
Cincinnati,BC,14,9516.0,679.7142857142857143
Grass Valley,BC,38,25826.0,679.6315789473684211
Covina,AZ,12,8154.0,679.5000000000000000
Lubbock,ID,16,10872.0,679.5000000000000000
Anderson,QC,13,8833.0,679.4615384615384615
Prescott,MB,11,7474.0,679.4545454545454545
Hampton,WV,7,4756.0,679.4285714285714286
Plano,AB,10,6790.0,679.0000000000000000
New Albany,MO,8,5431.0,678.8750000000000000
Charlotte,OK,13,8825.0,678.8461538461538462
Beverly Hills,NT,10,6788.0,678.8000000000000000
Cudahy,YT,8,5430.0,678.7500000000000000
Webster Groves,BC,14,9501.0,678.6428571428571429
Duluth,AB,17,11536.0,678.5882352941176471
Goose Creek,IN,13,8821.0,678.5384615384615385
Farmington,UT,6,4071.0,678.5000000000000000
Joliet,RI,10,6784.0,678.4000000000000000
Bismarck,AK,12,8140.0,678.3333333333333333
Iowa City,LA,8,5426.0,678.2500000000000000
Middletown,FL,8,5426.0,678.2500000000000000
Duarte,MA,6,4069.0,678.1666666666666667
Leominster,NT,9,6103.0,678.1111111111111111
Berlin,AB,11,7457.0,677.9090909090909091
Cranston,MB,7,4744.0,677.7142857142857143
Nashville,ND,10,6777.0,677.7000000000000000
Cary,WI,11,7453.0,677.5454545454545455
Prescott,SK,19,12873.0,677.5263157894736842
Monrovia,YT,8,5420.0,677.5000000000000000
Ada,MT,8,5420.0,677.5000000000000000
Eureka,ND,7,4742.0,677.4285714285714286
Gu nica,NY,14,9482.0,677.2857142857142857
Dover,WV,12,8125.0,677.0833333333333333
Gloversville,NT,18,12184.0,676.8888888888888889
Rialto,TN,8,5415.0,676.8750000000000000
Rye,NV,8,5415.0,676.8750000000000000
Frankfort,NJ,7,4738.0,676.8571428571428571
Hannibal,ON,8,5413.0,676.6250000000000000
Naperville,NT,12,8119.0,676.5833333333333333
Lakewood,CA,7,4736.0,676.5714285714285714
Jonesboro,NL,10,6765.0,676.5000000000000000
Culver City,MT,17,11500.0,676.4705882352941176
Aurora,NS,26,17588.0,676.4615384615384615
Garden Grove,NB,27,18263.0,676.4074074074074074
Colorado Springs,SC,9,6086.0,676.2222222222222222
Grand Junction,UT,14,9467.0,676.2142857142857143
Manhattan Beach,QC,24,16228.0,676.1666666666666667
Philadelphia,MB,13,8788.0,676.0000000000000000
Elsmere,NS,11,7435.0,675.9090909090909091
West Memphis,NU,7,4731.0,675.8571428571428571
Biloxi,VT,6,4055.0,675.8333333333333333
Anchorage,AK,10,6756.0,675.6000000000000000
Meadville,BC,16,10807.0,675.4375000000000000
Cheyenne,BC,10,6754.0,675.4000000000000000
Savannah,MD,8,5403.0,675.3750000000000000
Santa Clarita,OH,12,8104.0,675.3333333333333333
Fort Wayne,NJ,20,13506.0,675.3000000000000000
Wisconsin Rapids,CA,10,6751.0,675.1000000000000000
Rehoboth Beach,DC,12,8097.0,674.7500000000000000
Biddeford,WA,8,5395.0,674.3750000000000000
Ponce,ON,12,8091.0,674.2500000000000000
West Hartford,PE,8,5394.0,674.2500000000000000
Sioux City,ME,9,6067.0,674.1111111111111111
Jefferson City,MD,6,4044.0,674.0000000000000000
Jordan Valley,HI,8,5392.0,674.0000000000000000
Alamogordo,NM,8,5391.0,673.8750000000000000
Pueblo,SK,8,5391.0,673.8750000000000000
Ocean City,NT,7,4717.0,673.8571428571428571
Miami Beach,WA,6,4042.0,673.6666666666666667
Selma,HI,12,8084.0,673.6666666666666667
Dallas,OH,8,5389.0,673.6250000000000000
Avalon,PE,20,13472.0,673.6000000000000000
Austin,AB,36,24248.0,673.5555555555555556
Christiansted,NE,8,5387.0,673.3750000000000000
Savannah,MB,9,6060.0,673.3333333333333333
Fernley,MA,12,8076.0,673.0000000000000000
Louisville,NL,8,5383.0,672.8750000000000000
Lake Charles,AK,11,7400.0,672.7272727272727273
Quincy,BC,10,6724.0,672.4000000000000000
Wilson,TN,6,4034.0,672.3333333333333333
Warwick,GA,21,14118.0,672.2857142857142857
South Bend,MB,24,16133.0,672.2083333333333333
Boulder City,LA,6,4033.0,672.1666666666666667
Rosemead,CO,15,10082.0,672.1333333333333333
Wilkes-Barre,YT,14,9408.0,672.0000000000000000
Peekskill,NT,16,10752.0,672.0000000000000000
Port Arthur,MA,7,4704.0,672.0000000000000000
Schenectady,WI,14,9406.0,671.8571428571428571
Oswego,MB,10,6718.0,671.8000000000000000
Placentia,LA,6,4030.0,671.6666666666666667
Bandon,CT,10,6716.0,671.6000000000000000
New York,WA,13,8729.0,671.4615384615384615
Chino,PE,7,4700.0,671.4285714285714286
Troy,ME,7,4700.0,671.4285714285714286
Placentia,NE,14,9400.0,671.4285714285714286
Des Moines,ON,7,4700.0,671.4285714285714286
Rock Island,NL,16,10742.0,671.3750000000000000
Brookfield,IN,6,4028.0,671.3333333333333333
San Dimas,SK,8,5370.0,671.2500000000000000
Long Beach,MT,6,4026.0,671.0000000000000000
Apple Valley,IN,12,8051.0,670.9166666666666667
Clarksville,ME,10,6708.0,670.8000000000000000
Murfreesboro,CT,11,7378.0,670.7272727272727273
Ames,NL,11,7378.0,670.7272727272727273
Glendora,VT,6,4024.0,670.6666666666666667
Salinas,SK,16,10727.0,670.4375000000000000
Richmond,PA,22,14749.0,670.4090909090909091
Atlantic City,WI,11,7374.0,670.3636363636363636
Moscow,OH,7,4692.0,670.2857142857142857
Cambridge,NT,7,4692.0,670.2857142857142857
Rockville,CA,8,5362.0,670.2500000000000000
Elkhart,AL,8,5362.0,670.2500000000000000
Forest Lake,AB,7,4691.0,670.1428571428571429
Rawlins,SK,11,7370.0,670.0000000000000000
Oxnard,PE,15,10049.0,669.9333333333333333
Fernley,PE,17,11388.0,669.8823529411764706
Hermosa Beach,AB,8,5358.0,669.7500000000000000
Claremore,MN,8,5357.0,669.6250000000000000
North Las Vegas,OH,18,12049.0,669.3888888888888889
Phenix City,NJ,7,4685.0,669.2857142857142857
Warren,LA,7,4684.0,669.1428571428571429
Cypress,OK,7,4684.0,669.1428571428571429
Frederiksted,SK,14,9364.0,668.8571428571428571
Green Bay,ID,11,7356.0,668.7272727272727273
New Albany,MD,19,12699.0,668.3684210526315789
Huntington,BC,11,7352.0,668.3636363636363636
Portsmouth,AB,14,9357.0,668.3571428571428571
Blythe,NB,9,6015.0,668.3333333333333333
Fajardo,NT,26,17375.0,668.2692307692307692
Amesbury,NB,25,16706.0,668.2400000000000000
Barrow,LA,13,8686.0,668.1538461538461538
Forrest City,MB,21,14031.0,668.1428571428571429
Nampa,NB,11,7348.0,668.0000000000000000
Wheaton,WI,9,6011.0,667.8888888888888889
Meriden,NJ,8,5343.0,667.8750000000000000
Everett,MO,6,4007.0,667.8333333333333333
Lowell,NS,14,9347.0,667.6428571428571429
Brigham City,NL,7,4673.0,667.5714285714285714
Layton,MN,12,8010.0,667.5000000000000000
Moline,CO,10,6675.0,667.5000000000000000
Bay City,NU,30,20024.0,667.4666666666666667
Washington,MA,22,14684.0,667.4545454545454545
Ithaca,AB,7,4672.0,667.4285714285714286
Binghamton,MB,40,26689.0,667.2250000000000000
Plantation,UT,7,4670.0,667.1428571428571429
Brookings,HI,9,6004.0,667.1111111111111111
Augusta,ME,10,6670.0,667.0000000000000000
Boulder,YT,11,7337.0,667.0000000000000000
Joplin,DC,10,6670.0,667.0000000000000000
Moultrie,NT,25,16675.0,667.0000000000000000
Farmington,NL,9,6002.0,666.8888888888888889
Dana Point,ON,21,14004.0,666.8571428571428571
Laramie,LA,13,8668.0,666.7692307692307692
Irvine,NL,8,5334.0,666.7500000000000000
Springdale,AZ,19,12664.0,666.5263157894736842
Beaumont,IA,8,5332.0,666.5000000000000000
Frisco,NT,22,14661.0,666.4090909090909091
Valencia,NT,10,6662.0,666.2000000000000000
Anchorage,AB,14,9326.0,666.1428571428571429
Odessa,WV,15,9992.0,666.1333333333333333
Hartland,OH,14,9324.0,666.0000000000000000
Starkville,YT,14,9323.0,665.9285714285714286
